A/C ID / Tail,Aircraft/Sim,Model Number,ICAO Code,Category,Eng,Engine Type,Land/Sea,Manufacturer,Hi Perf,EFIS,IFR Equipped,WTC,Eqp
FAA292,Aircraft Simulator,SD3-60,SH36,Airplane,2,Turboprop,Land,Shorts,true,,true,Medium,A
N110SU,Aircraft,BE76,BE76,Airplane,2,Piston,Land,Beech,,,true,Light,
N124CA,Aircraft,SD3-60,SH36,Airplane,2,Turboprop,Land,Shorts,true,,true,Medium,
N1433E,Aircraft,C172,C172,Airplane,1,Piston,Land,,,,true,Light,
N161PQ,Aircraft,CL-600-2D24,CRJ9,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,
N162PQ,Aircraft,CL-600-2D24,CRJ9,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,L
N170PQ,Aircraft,CL-600-2D24,CRJ9,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,L
N187PQ,Aircraft,CL-600-2D24,CRJ9,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,
N24583,Aircraft,BE23,BE23,Airplane,1,Piston,Land,Beechcraft,,,,Light,
N2629P,Aircraft,SD3-30,SH36,Airplane,2,Turboprop,Land,Shorts,true,,true,Medium,A
N278D,Aircraft,BE76,BE76,Airplane,2,Piston,Land,Beech,,,true,Light,
N32574,Aircraft,PA-28-161,PA28,Airplane,1,Piston,Land,Piper,,,,Light,
N360AB,Aircraft,SD3-60,SH36,Airplane,2,Turboprop,Land,Short,,,true,Medium,A
N360RW,Aircraft,SD3-60,SH36,Airplane,2,Turboprop,Land,,true,,true,Medium,
N367AC,Aircraft,SD3-60,SH36,Airplane,2,Turboprop,Land,Short,,,true,Medium,A
N3732X,Aircraft,SD3-60,SH36,Airplane,2,Turboprop,Land,Shorts,true,,true,Medium,A
N3907Y,Aircraft,210,C210,Airplane,1,Piston,Land,Cessna,true,,true,Light,A
N416SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Canadair,true,true,true,Medium,M
N417SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,L
N418SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,L
N423SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,M
N426SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,L
N427SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,L
N429SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,M
N430SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,L
N432SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,M
N433SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,M
N437SW,Aircraft,CL-600-2B19,CRJ2,Airplane,2,Turbofan,Land,Bombardier,true,true,true,Medium,L
