Date,Model,Aircraft ID,Route,Day T/O,Ngt T/O,Day Ldgs,Ngt Ldgs,IAP,SE,ME,Complex,Turbine,Rotorcraft,X/C,Night,IMC,Sim Inst,Flt Sim,PIC,SIC,Solo,Dual Recd,Dual Given,Total Time,Remarks
"Jan 30, 2020",CL-600-2C10,N794SK,GSP IAH,0,0,0,0,0,,2.8,2.8,2.8,,2.8,0.1,0.0,0.0,,2.8,0.0, ,,,2.8,
"Jan 28, 2020",CL-600-2C10,N789SK,IAH GSP,0,0,0,0,0,,3.2,3.2,3.2,,3.2,3.2,0.0,0.0,,3.2,0.0, ,,,3.2,
"Jan 27, 2020",CL-600-2B19,N932SW,SGF IAH,0,1,1,0,1,,2.3,2.3,2.3,,2.3,0.4,0.0,0.0,,2.3,0.0, ,,,2.3,
"Jan 26, 2020",CL-600-2B19,N938SW,IAH SGF,0,0,0,0,0,,1.9,,1.9,,1.9,,0.0,0.0,,1.9,0.0, ,,,1.9,
"Jan 22, 2020",CL-600-2D24,N170PQ,DTW IAH,0,1,0,1,0,,3.2,3.2,3.2,,3.2,3.2,0.0,0.0,,3.2,0.0, ,,,3.2,
"Jan 22, 2020",CL-600-2D24,N831SK,HPN DTW,0,0,0,0,0,,1.6,,1.6,,1.6,,0.0,0.0,,1.6,0.0, ,,,1.6,
"Jan 21, 2020",CL-600-2D24,N829SK,DTW HPN,0,1,0,1,0,,1.6,,1.6,,1.6,1.6,0.0,0.0,,1.6,0.0, ,,,1.6,
"Jan 21, 2020",CL-600-2D24,N829SK,MEM DTW,0,0,0,0,0,,1.9,,1.9,,1.9,0.8,0.0,0.0,,1.9,0.0, ,,,1.9,
"Jan 20, 2020",CL-600-2D24,N897SK,DTW MEM,0,1,0,1,0,,2.1,2.1,2.1,,2.1,2.1,0.0,0.0,,2.1,0.0, ,,,2.1,
"Jan 20, 2020",CL-600-2D24,N897SK,IAH DTW,0,0,0,0,0,,2.7,2.7,2.7,,2.7,0.8,0.0,0.0,,2.7,0.0, ,,,2.7,
"Jan 15, 2020",CL-600-2D24,N899SK,DTW IAH,1,0,0,1,1,,2.9,2.9,2.9,,2.9,2.6,0.0,0.0,,2.9,0.0, ,,,2.9,
